"sub_num","list","practice","target","abs_order","order","onset","FP","LP","resp","score","phase","class","ls_order","resp_dur","RT","cond_list"
30,2,"S","sand",40,NA,3642473.33300754,3642479.6473345,3642480.39924382,"pool",1,"final","sp",10,0.751909319777042,7.63154831016436,1
30,2,"S","pool",41,NA,3642480.84912154,3642492.31061758,3642493.27849342,"dentist",1,"final","sp",11,0.967875840142369,12.6632830798626,1
30,2,"S","pony",42,NA,3642493.63152204,3642497.29429018,3642498.2541967,"crown",1,"final","sp",12,0.959906520321965,4.98367259977385,1
30,2,"S","knight",43,NA,3642498.66449077,3642501.01406477,3642501.43802578,"path",1,"final","sp",13,0.423961009830236,3.71977459033951,1
30,3,"T","wine",46,NA,3642742.79661046,3642743.75986324,3642744.18379014,"ring",1,"final","tp",1,0.42392689967528,0.963252780027688,2
30,3,"T","lobster",47,NA,3642744.91315314,3642745.4317142,3642746.23967675,"soil",1,"final","tp",2,0.807962549850345,1.67185095977038,2
30,3,"T","satellite",48,NA,3642746.74632398,3642747.22361044,3642747.79157418,"wine",1,"final","tp",3,0.567963740322739,1.7918962398544,2
30,3,"T","piano",49,NA,3642748.52955667,3642748.95152067,3642750.30340801,"lobster",1,"final","tp",4,1.35188733972609,1.7279102304019,2
30,3,"T","soil",50,NA,3642750.71270478,3642751.30337089,3642752.09531754,"piano",1,"final","tp",5,0.791946650017053,2.35185022000223,2
30,3,"T","tooth",51,NA,3642752.91254281,3642754.90320372,3642756.00709426,"channel",1,"final","tp",6,1.10389053961262,3.5998328300193,2
30,3,"T","finger",52,NA,3642756.49561419,3642757.20702798,3642757.70299473,"babe",1,"final","tp",7,0.495966749731451,2.30382425989956,2
30,3,"T","forest",53,NA,3642758.29549635,3642761.32678018,3642763.0306738,"hurricane",1,"final","tp",8,1.70389362005517,4.1197521998547,2
30,3,"T","hurricane",54,NA,3642763.44510736,3642767.0864765,3642767.62241175,"bolt",1,"final","tp",9,0.535935249645263,5.75969632016495,2
30,3,"T","bolt",55,NA,3642767.99477265,3642768.39037018,3642769.32631201,"forest",1,"final","tp",10,0.935941830277443,1.30389367975295,2
30,3,"T","babe",56,NA,3642769.69464599,3642772.95013912,3642773.67805568,"finger",1,"final","tp",11,0.72791655967012,4.5597689403221,2
30,3,"T","bullet",57,NA,3642774.09407997,3642786.43735236,3642788.34920334,"sattellite",1,"final","tp",12,1.91185097955167,13.4872132400051,2
30,3,"T","ring",58,NA,3642789.04323749,3642791.29306861,3642792.95693335,"satellite",2,"final","tp",13,1.66386473970488,0,2
30,4,"S","gift",61,NA,3643011.27698902,3643011.95214458,3643012.22408615,"ear",1,"final","sp",1,0.271941570099443,0.675155560020357,2
30,4,"S","guitar",62,NA,3643012.84356397,3643016.18389669,3643016.89580067,"rock",1,"final","sp",2,0.711903980001807,4.23175211017951,2
30,4,"S","salad",63,NA,3643017.44320393,3643017.87175418,3643019.07968347,"candle",1,"final","sp",3,1.20792928989977,1.68785749003291,2
30,4,"S","judge",64,NA,3643019.52638156,3643020.0796222,3643021.70352416,"gift",1,"final","sp",4,1.62390195997432,2.20786802005023,2
30,4,"S","dame",65,NA,3643022.19288352,3643022.96749099,3643023.55141629,"test",1,"final","sp",5,0.583925299812108,2.88786878995597,2
30,4,"S","candle",66,NA,3643024.07607793,3643024.67135774,3643026.41524674,"salad",1,"final","sp",6,1.74388899980113,1.70386675000191,2
30,4,"S","sign",67,NA,3643026.9591993,3643027.51120147,3643028.52712832,"guitar",1,"final","sp",7,1.01592685002834,2.83984372997656,2
30,4,"S","meal",68,NA,3643029.37568662,3643030.30306029,3643030.73501656,"meal",1,"final","sp",8,0.431956270243973,2.79185881977901,2
30,4,"S","ship",69,NA,3643031.4921804,3643033.42286712,3643034.31878973,"leather",1,"final","sp",9,0.895922610070556,3.11980682983994,2
30,4,"S","leather",70,NA,3643034.70860995,3643035.48672908,3643036.12668075,"ship",1,"final","sp",10,0.639951670076698,2.06386196007952,2
30,4,"S","test",71,NA,3643036.87511825,3643042.66236185,3643043.18226672,"horn",1,"final","sp",11,0.519904870074242,7.17563277017325,2
30,4,"S","porch",72,NA,3643043.80794142,3643059.4053435,3643059.8933189,"dame",1,"final","sp",12,0.487975399941206,16.7429816499352,2
