subject,group,practice,other_type,timepoint,acc,n,chain,nplus,acc_plus,nneg,acc_neg
60,immediate,T,NA,2,0.533333333333333,15,5,9,0.888888888888889,6,0
61,delay,C,T,1,NA,15,1,NA,NA,NA,NA
61,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
61,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
61,delay,T,C,1,0.6,15,4,NA,NA,NA,NA
61,delay,T,NA,1,0.6,15,5,NA,NA,NA,NA
61,delay,C,T,3,0.266666666666667,15,1,9,0.444444444444444,6,0
61,delay,C,NA,3,0.0666666666666667,15,2,NA,NA,NA,NA
61,delay,S,NA,3,0.6,15,3,NA,NA,NA,NA
61,delay,T,C,3,NA,15,4,NA,NA,NA,NA
61,delay,T,NA,3,0.533333333333333,15,5,9,0.888888888888889,6,0
62,delay,C,T,1,NA,15,1,NA,NA,NA,NA
62,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
62,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
62,delay,T,C,1,0.733333333333333,15,4,NA,NA,NA,NA
62,delay,T,NA,1,0.933333333333333,15,5,NA,NA,NA,NA
62,delay,C,T,3,0.6,15,1,11,0.636363636363636,4,0.5
62,delay,C,NA,3,0.8,15,2,NA,NA,NA,NA
62,delay,S,NA,3,0.8,15,3,NA,NA,NA,NA
62,delay,T,C,3,NA,15,4,NA,NA,NA,NA
62,delay,T,NA,3,0.866666666666667,15,5,14,0.928571428571429,1,0
63,immediate,C,T,1,NA,15,1,NA,NA,NA,NA
63,immediate,C,NA,1,NA,15,2,NA,NA,NA,NA
63,immediate,S,NA,1,NA,15,3,NA,NA,NA,NA
63,immediate,T,C,1,0.6,15,4,NA,NA,NA,NA
63,immediate,T,NA,1,0.466666666666667,15,5,NA,NA,NA,NA
63,immediate,C,T,2,0.333333333333333,15,1,9,0.444444444444444,6,0.166666666666667
63,immediate,C,NA,2,0.466666666666667,15,2,NA,NA,NA,NA
63,immediate,S,NA,2,0.933333333333333,15,3,NA,NA,NA,NA
63,immediate,T,C,2,NA,15,4,NA,NA,NA,NA
63,immediate,T,NA,2,0.466666666666667,15,5,7,1,8,0
64,delay,C,T,1,NA,15,1,NA,NA,NA,NA
64,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
64,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
64,delay,T,C,1,0.933333333333333,15,4,NA,NA,NA,NA
64,delay,T,NA,1,0.733333333333333,15,5,NA,NA,NA,NA
64,delay,C,T,3,0.533333333333333,15,1,14,0.5,1,1
64,delay,C,NA,3,0.466666666666667,15,2,NA,NA,NA,NA
64,delay,S,NA,3,0.666666666666667,15,3,NA,NA,NA,NA
64,delay,T,C,3,NA,15,4,NA,NA,NA,NA
64,delay,T,NA,3,0.666666666666667,15,5,11,0.909090909090909,4,0
65,immediate,C,T,1,NA,15,1,NA,NA,NA,NA
65,immediate,C,NA,1,NA,15,2,NA,NA,NA,NA
65,immediate,S,NA,1,NA,15,3,NA,NA,NA,NA
65,immediate,T,C,1,0.4,15,4,NA,NA,NA,NA
65,immediate,T,NA,1,0.4,15,5,NA,NA,NA,NA
65,immediate,C,T,2,0.333333333333333,15,1,6,0.5,9,0.222222222222222
65,immediate,C,NA,2,0.466666666666667,15,2,NA,NA,NA,NA
65,immediate,S,NA,2,0.666666666666667,15,3,NA,NA,NA,NA
65,immediate,T,C,2,NA,15,4,NA,NA,NA,NA
65,immediate,T,NA,2,0.4,15,5,6,1,9,0
66,delay,C,T,1,NA,15,1,NA,NA,NA,NA
