subject,group,practice,other_type,prac_acc,final_acc,n,chain,acc_plus,nplus,acc_neg,nneg,prac_and_final,prac_and_not_final,not_prac_and_final,not_prac_and_not_final
76,immediate,C,T,NA,0.333333333333333,15,1,0.571428571428571,7,0.125,8,0.266666666666667,0.2,0.0666666666666667,0.466666666666667
76,immediate,C,NA,NA,0.2,15,2,NA,NA,NA,NA,NA,NA,NA,NA
76,immediate,S,NA,NA,0.666666666666667,15,3,NA,NA,NA,NA,NA,NA,NA,NA
76,immediate,T,C,0.466666666666667,NA,15,4,NA,7,NA,8,NA,NA,NA,NA
76,immediate,T,NA,0.333333333333333,0.266666666666667,15,5,0.8,5,0,10,0.266666666666667,0.0666666666666667,0,0.666666666666667
77,immediate,C,T,NA,0.4,15,1,0.666666666666667,6,0.222222222222222,9,0.266666666666667,0.133333333333333,0.133333333333333,0.466666666666667
77,immediate,C,NA,NA,0.733333333333333,15,2,NA,NA,NA,NA,NA,NA,NA,NA
77,immediate,S,NA,NA,1,15,3,NA,NA,NA,NA,NA,NA,NA,NA
77,immediate,T,C,0.4,NA,15,4,NA,6,NA,9,NA,NA,NA,NA
77,immediate,T,NA,0.666666666666667,0.6,15,5,0.9,10,0,5,0.6,0.0666666666666667,0,0.333333333333333
